cart_id,cust_id,trx_date
1,3,2023-01-01 00:00:00
2,618,2023-01-01 00:00:00
3,942,2023-01-01 00:00:00
4,386,2023-01-01 00:00:00
5,812,2023-01-01 00:00:00
6,873,2023-01-01 00:00:00
7,956,2023-01-01 00:00:00
8,485,2023-01-01 00:00:00
9,549,2023-01-01 00:00:00
10,223,2023-01-01 00:00:00
11,927,2023-01-02 00:00:00
12,556,2023-01-02 00:00:00
13,249,2023-01-02 00:00:00
14,911,2023-01-02 00:00:00
15,277,2023-01-02 00:00:00
16,906,2023-01-02 00:00:00
17,522,2023-01-02 00:00:00
18,644,2023-01-02 00:00:00
19,611,2023-01-02 00:00:00
20,494,2023-01-03 00:00:00
21,342,2023-01-03 00:00:00
22,76,2023-01-03 00:00:00
23,633,2023-01-03 00:00:00
24,784,2023-01-03 00:00:00
25,875,2023-01-03 00:00:00
26,298,2023-01-03 00:00:00
27,727,2023-01-03 00:00:00
28,933,2023-01-03 00:00:00
29,637,2023-01-03 00:00:00
30,44,2023-01-04 00:00:00
31,5,2023-01-04 00:00:00
32,318,2023-01-04 00:00:00
33,161,2023-01-04 00:00:00
34,227,2023-01-04 00:00:00
35,945,2023-01-04 00:00:00
36,357,2023-01-04 00:00:00
37,445,2023-01-04 00:00:00
38,10,2023-01-04 00:00:00
39,638,2023-01-04 00:00:00
40,648,2023-01-05 00:00:00
41,210,2023-01-05 00:00:00
42,548,2023-01-05 00:00:00
43,743,2023-01-05 00:00:00
44,307,2023-01-05 00:00:00
45,209,2023-01-05 00:00:00
46,862,2023-01-05 00:00:00
47,697,2023-01-05 00:00:00
48,855,2023-01-05 00:00:00
49,311,2023-01-05 00:00:00
50,668,2023-01-05 00:00:00
51,665,2023-01-06 00:00:00
52,438,2023-01-06 00:00:00
53,673,2023-01-06 00:00:00
54,155,2023-01-06 00:00:00
55,824,2023-01-06 00:00:00
56,223,2023-01-06 00:00:00
57,655,2023-01-06 00:00:00
58,171,2023-01-06 00:00:00
59,212,2023-01-06 00:00:00
60,147,2023-01-07 00:00:00
61,782,2023-01-07 00:00:00
62,168,2023-01-07 00:00:00
63,109,2023-01-07 00:00:00
64,141,2023-01-07 00:00:00
65,52,2023-01-07 00:00:00
66,836,2023-01-07 00:00:00
67,449,2023-01-07 00:00:00
68,217,2023-01-07 00:00:00
69,641,2023-01-07 00:00:00
70,410,2023-01-08 00:00:00
71,265,2023-01-08 00:00:00
72,368,2023-01-08 00:00:00
73,379,2023-01-08 00:00:00
74,548,2023-01-08 00:00:00
75,690,2023-01-08 00:00:00
76,389,2023-01-08 00:00:00
77,62,2023-01-08 00:00:00
78,520,2023-01-08 00:00:00
79,236,2023-01-09 00:00:00
80,623,2023-01-09 00:00:00
81,509,2023-01-09 00:00:00
82,438,2023-01-09 00:00:00
83,53,2023-01-09 00:00:00
84,398,2023-01-09 00:00:00
85,290,2023-01-09 00:00:00
86,802,2023-01-09 00:00:00
