product_id,name,price,description,image_url
1,Japchae,72500,"A Korean dish made with stir-fried sweet potato noodles, vegetables, and a mix of savory seasonings, often with beef or pork.",https://fake.pacmann.io/img/1.jpg
2,Frozen Tater Tots,35000,"Small, grated potatoes formed into rounds and frozen for easy baking or frying into crispy golden bites.",https://fake.pacmann.io/img/2.jpg
3,Frozen Hot Pockets,32000,"Microwaveable pastries filled with a variety of fillings like cheese, pepperoni, or chicken, frozen for convenience.",https://fake.pacmann.io/img/3.jpg
4,Duck Foie Gras,112500,"A luxurious French delicacy made from the liver of a duck, typically served as a pâté or terrine.",https://fake.pacmann.io/img/4.jpg
5,Mee Goreng,66000,"A flavorful and spicy stir-fried noodle dish from Indonesia, made with yellow noodles, vegetables, tofu, shrimp, and a mix of sauces.",https://fake.pacmann.io/img/5.jpg
6,Frozen Pancakes,58000,"Pre-cooked pancakes, ready to heat and serve, typically served with syrup and butter.",https://fake.pacmann.io/img/6.jpg
7,Nitro Coffee,29500,"Cold brew coffee infused with nitrogen gas, creating a smooth, creamy texture and a foamy head.",https://fake.pacmann.io/img/7.jpg
8,Chicken Shawarma,92000,"A Middle Eastern dish made with marinated, spiced chicken that is slow-cooked on a vertical rotisserie and served in a pita or flatbread with vegetables.",https://fake.pacmann.io/img/8.jpg
9,Strawberry Lemonade,34000,"A sweet and tangy lemonade blended with fresh strawberries, creating a pink-hued, fruity drink perfect for summer.",https://fake.pacmann.io/img/9.jpg
10,Frozen Croissants,58500,"Unbaked croissants that are frozen and then baked fresh at home for a flaky, buttery breakfast treat.",https://fake.pacmann.io/img/10.jpg
11,Frozen Sausage Links,48000,Pre-cooked sausage links that are frozen and ready to heat for breakfast or dinner.,https://fake.pacmann.io/img/11.jpg
12,Darjeeling Tea,26000,"A delicate black tea from India, often referred to as the 'Champagne of teas,' known for its floral aroma and light, muscatel flavor.",https://fake.pacmann.io/img/12.jpg
13,Risotto,40500,"An Italian dish made with short-grain rice cooked in a creamy broth, often combined with vegetables, meat, or seafood.",https://fake.pacmann.io/img/13.jpg
